demx8as6@controller:~/workspace/onf/CENTENNIAL/models/tools$ ./build-yang.sh 
[3;J
2017-02-18T17:59:45,561Z | build-yang | INFO  | Start
2017-02-18T17:59:54.856Z |    yangify | INFO  | CoreModel:ForwardingConstructCoreModel:uuid,name >> core-model:forwarding-constructcore-model:uuid,name
2017-02-18T17:59:54.856Z |    yangify | INFO  | CoreModel:NetworkElementCoreModel:_ltpCoreModel:uuid,name >> core-model:network-elementcore-model:ltpcore-model:uuid,name
2017-02-18T17:59:54.856Z |    yangify | INFO  | GlobalClass; >> global-class;
2017-02-18T17:59:54.856Z |    yangify | INFO  | ForwardingConstruct >> forwarding-construct
2017-02-18T17:59:54.856Z |    yangify | INFO  | LayerProtocolName >> layer-protocol-name
2017-02-18T17:59:54.856Z |    yangify | INFO  | CoreModel:ForwardingConstructCoreModel:uuid,name >> core-model:forwarding-constructcore-model:uuid,name
2017-02-18T17:59:54.856Z |    yangify | INFO  | _fcPort >> fc-port
2017-02-18T17:59:54.857Z |    yangify | INFO  | FcPort; >> fc-port;
2017-02-18T17:59:54.857Z |    yangify | INFO  | _fcSwitch >> fc-switch
2017-02-18T17:59:54.857Z |    yangify | INFO  | FcSwitch; >> fc-switch;
2017-02-18T17:59:54.857Z |    yangify | INFO  | ForwardingDirection >> forwarding-direction
2017-02-18T17:59:54.857Z |    yangify | INFO  | GlobalClass; >> global-class;
2017-02-18T17:59:54.857Z |    yangify | INFO  | NetworkElement >> network-element
2017-02-18T17:59:54.857Z |    yangify | INFO  | _fd >> fd
2017-02-18T17:59:54.857Z |    yangify | INFO  | ForwardingDomain; >> forwarding-domain;
2017-02-18T17:59:54.857Z |    yangify | INFO  | _ltp >> ltp
2017-02-18T17:59:54.857Z |    yangify | INFO  | LogicalTerminationPoint; >> logical-termination-point;
2017-02-18T17:59:54.857Z |    yangify | INFO  | GlobalClass; >> global-class;
2017-02-18T17:59:54.857Z |    yangify | INFO  | FcPort >> fc-port
2017-02-18T17:59:54.857Z |    yangify | INFO  | CoreModel:NetworkElementCoreModel:_ltpCoreModel:uuid,name >> core-model:network-elementcore-model:ltpcore-model:uuid,name
2017-02-18T17:59:54.858Z |    yangify | INFO  | PortRole >> port-role
2017-02-18T17:59:54.858Z |    yangify | INFO  | PortDirection >> port-direction
2017-02-18T17:59:54.858Z |    yangify | INFO  | LocalClass; >> local-class;
2017-02-18T17:59:54.858Z |    yangify | INFO  | LayerProtocol >> layer-protocol
2017-02-18T17:59:54.858Z |    yangify | INFO  | LayerProtocolName >> layer-protocol-name
2017-02-18T17:59:54.858Z |    yangify | INFO  | ToBeDefined >> to-be-defined
2017-02-18T17:59:54.858Z |    yangify | INFO  | TerminationDirection >> termination-direction
2017-02-18T17:59:54.858Z |    yangify | INFO  | TerminationState >> termination-state
2017-02-18T17:59:54.858Z |    yangify | INFO  | _configAndSwitchController >> config-and-switch-controller
2017-02-18T17:59:54.858Z |    yangify | INFO  | switchRule >> switch-rule
2017-02-18T17:59:54.858Z |    yangify | INFO  | ConfigurationAndSwitchController; >> configuration-and-switch-controller;
2017-02-18T17:59:54.858Z |    yangify | INFO  | LocalClass; >> local-class;
2017-02-18T17:59:54.858Z |    yangify | INFO  | LogicalTerminationPoint >> logical-termination-point
2017-02-18T17:59:54.859Z |    yangify | INFO  | CoreModel:NetworkElementCoreModel:_ltpCoreModel:uuid,name >> core-model:network-elementcore-model:ltpcore-model:uuid,name
2017-02-18T17:59:54.859Z |    yangify | INFO  | CoreModel:NetworkElementCoreModel:_ltpCoreModel:uuid,name >> core-model:network-elementcore-model:ltpcore-model:uuid,name
2017-02-18T17:59:54.859Z |    yangify | INFO  | _lp >> lp
2017-02-18T17:59:54.859Z |    yangify | INFO  | LayerProtocol; >> layer-protocol;
2017-02-18T17:59:54.859Z |    yangify | INFO  | CoreModel:NetworkElementCoreModel:_ltpCoreModel:uuid,name >> core-model:network-elementcore-model:ltpcore-model:uuid,name
2017-02-18T17:59:54.859Z |    yangify | INFO  | CoreModel:NetworkElementCoreModel:_ltpCoreModel:uuid,name >> core-model:network-elementcore-model:ltpcore-model:uuid,name
2017-02-18T17:59:54.859Z |    yangify | INFO  | CoreModel:NetworkElementCoreModel:_ltpCoreModel:uuid,name >> core-model:network-elementcore-model:ltpcore-model:uuid,name
2017-02-18T17:59:54.859Z |    yangify | INFO  | TerminationDirection >> termination-direction
2017-02-18T17:59:54.859Z |    yangify | INFO  | GlobalClass; >> global-class;
2017-02-18T17:59:54.859Z |    yangify | INFO  | ObjectClasses >> object-classes
2017-02-18T17:59:54.860Z |    yangify | INFO  | Diagrams >> diagrams
2017-02-18T17:59:54.860Z |    yangify | INFO  | Associations >> associations
2017-02-18T17:59:54.860Z |    yangify | INFO  | CoreNetworkModel >> core-network-model
2017-02-18T17:59:54.860Z |    yangify | INFO  | DateAndTime >> date-and-time
2017-02-18T17:59:54.860Z |    yangify | INFO  | BitString >> bit-string
2017-02-18T17:59:54.860Z |    yangify | INFO  | Real >> real
2017-02-18T17:59:54.860Z |    yangify | INFO  | PrintableString >> printable-string
2017-02-18T17:59:54.860Z |    yangify | INFO  | ToBeDefined >> to-be-defined
2017-02-18T17:59:54.860Z |    yangify | INFO  | TypeDefinitions >> type-definitions
2017-02-18T17:59:54.860Z |    yangify | INFO  | Name >> name
2017-02-18T17:59:54.860Z |    yangify | INFO  | valueName >> value-name
2017-02-18T17:59:54.860Z |    yangify | INFO  | NameAndValue; >> name-and-value;
2017-02-18T17:59:54.861Z |    yangify | INFO  | GlobalClass >> global-class
2017-02-18T17:59:54.861Z |    yangify | INFO  | localId >> local-id
2017-02-18T17:59:54.861Z |    yangify | INFO  | valueName >> value-name
2017-02-18T17:59:54.861Z |    yangify | INFO  | NameAndValue; >> name-and-value;
2017-02-18T17:59:54.861Z |    yangify | INFO  | UniversalId >> universal-id
2017-02-18T17:59:54.861Z |    yangify | INFO  | Name;Label;Extension;State_Pac; >> name;label;extension;state-pac;
2017-02-18T17:59:54.861Z |    yangify | INFO  | LocalClass >> local-class
2017-02-18T17:59:54.861Z |    yangify | INFO  | localId >> local-id
2017-02-18T17:59:54.861Z |    yangify | INFO  | valueName >> value-name
2017-02-18T17:59:54.861Z |    yangify | INFO  | NameAndValue; >> name-and-value;
2017-02-18T17:59:54.861Z |    yangify | INFO  | UniversalId >> universal-id
2017-02-18T17:59:54.861Z |    yangify | INFO  | Name;Label;Extension;State_Pac; >> name;label;extension;state-pac;
2017-02-18T17:59:54.861Z |    yangify | INFO  | Label >> label
2017-02-18T17:59:54.861Z |    yangify | INFO  | valueName >> value-name
2017-02-18T17:59:54.861Z |    yangify | INFO  | NameAndValue; >> name-and-value;
2017-02-18T17:59:54.861Z |    yangify | INFO  | Extension >> extension
2017-02-18T17:59:54.862Z |    yangify | INFO  | valueName >> value-name
2017-02-18T17:59:54.862Z |    yangify | INFO  | NameAndValue; >> name-and-value;
2017-02-18T17:59:54.862Z |    yangify | INFO  | UniversalIdAuthority >> universal-id-authority
2017-02-18T17:59:54.862Z |    yangify | INFO  | UniversalId >> universal-id
2017-02-18T17:59:54.862Z |    yangify | INFO  | NameAndValueAuthority >> name-and-value-authority
2017-02-18T17:59:54.862Z |    yangify | INFO  | UniversalId >> universal-id
2017-02-18T17:59:54.862Z |    yangify | INFO  | ConditionalPackage >> conditional-package
2017-02-18T17:59:54.862Z |    yangify | INFO  | Extension;Label; >> extension;label;
2017-02-18T17:59:54.862Z |    yangify | INFO  | ObjectClasses >> object-classes
2017-02-18T17:59:54.862Z |    yangify | INFO  | NameAndValue >> name-and-value
2017-02-18T17:59:54.862Z |    yangify | INFO  | UniversalId >> universal-id
2017-02-18T17:59:54.862Z |    yangify | INFO  | Address >> address
2017-02-18T17:59:54.862Z |    yangify | INFO  | addressElement >> address-element
2017-02-18T17:59:54.862Z |    yangify | INFO  | AddressElement; >> address-element;
2017-02-18T17:59:54.862Z |    yangify | INFO  | LocalIdAndClass >> local-id-and-class
2017-02-18T17:59:54.863Z |    yangify | INFO  | localId >> local-id
2017-02-18T17:59:54.863Z |    yangify | INFO  | NameAndValue; >> name-and-value;
2017-02-18T17:59:54.863Z |    yangify | INFO  | NameAndClass >> name-and-class
2017-02-18T17:59:54.863Z |    yangify | INFO  | NameAndValue; >> name-and-value;
2017-02-18T17:59:54.863Z |    yangify | INFO  | AddressElement >> address-element
2017-02-18T17:59:54.863Z |    yangify | INFO  | localId >> local-id
2017-02-18T17:59:54.863Z |    yangify | INFO  | LocalIdAndClass; >> local-id-and-class;
2017-02-18T17:59:54.863Z |    yangify | INFO  | UniversalId >> universal-id
2017-02-18T17:59:54.863Z |    yangify | INFO  | NameAndClass; >> name-and-class;
2017-02-18T17:59:54.863Z |    yangify | INFO  | TypeDefinitions >> type-definitions
2017-02-18T17:59:54.863Z |    yangify | INFO  | SuperClassesAndCommonPackages >> super-classes-and-common-packages
2017-02-18T17:59:54.863Z |    yangify | INFO  | State_Pac >> state-pac
2017-02-18T17:59:54.863Z |    yangify | INFO  | OperationalState >> operational-state
2017-02-18T17:59:54.863Z |    yangify | INFO  | AdministrativeControl >> administrative-control
2017-02-18T17:59:54.864Z |    yangify | INFO  | AdministrativeState >> administrative-state
